frame_id,device_timestamp_us,sdk_system_timestamp_us,host_receive_us,bytes,source_gap,soi,sender_accepts,trimmed_bytes,first_eoi_end,last_eoi_end
81,61541332391,1789006407740798,1789006407742138,74076,0,1,1,42141,42141,42141
82,61541365699,1789006407774143,1789006407782498,74076,0,1,1,41960,41960,41960
83,61541399008,1789006407807708,1789006407809125,74076,0,1,1,42812,42812,42812
84,61541432316,1789006407840788,1789006407842306,74076,0,1,1,43008,43008,43008
85,61541465625,1789006407874134,1789006407875759,74076,0,1,1,42269,42269,42269
86,61541498934,1789006407907931,1789006407908947,74076,0,1,1,43255,43255,43255
87,61541532242,1789006407940650,1789006407942737,74076,0,1,1,42837,42837,42837
88,61541565551,1789006407974243,1789006407975743,74076,0,1,1,42926,42926,42926
89,61541598859,1789006408007444,1789006408008944,74076,0,1,1,42273,42273,42273
90,61541632168,1789006408041039,1789006408043287,74076,0,1,1,42302,42302,42302
91,61541665477,1789006408073842,1789006408075378,74076,0,1,1,42142,42142,42142
92,61541698785,1789006408107263,1789006408108751,74076,0,1,1,42967,42967,42967
93,61541732094,1789006408140502,1789006408141973,74076,0,1,1,42857,42857,42857
94,61541765402,1789006408173912,1789006408175440,74076,0,1,1,42014,42014,42014
95,61541798711,1789006408207440,1789006408208827,74076,0,1,1,42306,42306,42306
96,61541832020,1789006408240335,1789006408241951,74076,0,1,1,43027,43027,43027
97,61541865328,1789006408273930,1789006408275400,74076,0,1,1,42313,42313,42313
98,61541898637,1789006408307307,1789006408308655,74076,0,1,1,42256,42256,42256
99,61541931945,1789006408340885,1789006408342838,74076,0,1,1,43295,43295,43295
100,61541965254,1789006408373844,1789006408375431,74076,0,1,1,42080,42080,42080
101,61541998563,1789006408407152,1789006408408643,74076,0,1,1,42243,42243,42243
102,61542031871,1789006408440784,1789006408442671,74076,0,1,1,42318,42318,42318
103,61542065180,1789006408474145,1789006408475987,74076,0,1,1,43148,43148,43148
104,61542098488,1789006408506984,1789006408508493,74076,0,1,1,42935,42935,42935
105,61542131797,1789006408540328,1789006408542252,74076,0,1,1,42388,42388,42388
106,61542165106,1789006408574264,1789006408576084,74076,0,1,1,42988,42988,42988
107,61542198414,1789006408607111,1789006408608594,74076,0,1,1,43074,43074,43074
108,61542231723,1789006408640155,1789006408641597,74076,0,1,1,42325,42325,42325
109,61542265031,1789006408673935,1789006408676255,74076,0,1,1,42210,42210,42210
110,61542298340,1789006408706849,1789006408708343,74076,0,1,1,41984,41984,41984
111,61542331649,1789006408740173,1789006408741514,74076,0,1,1,43098,43098,43098
112,61542364957,1789006408774050,1789006408776651,74076,0,1,1,42214,42214,42214
113,61542398266,1789006408806753,1789006408808265,74076,0,1,1,42806,42806,42806
114,61542431574,1789006408839977,1789006408841561,74076,0,1,1,42307,42307,42307
115,61542464883,1789006408874013,1789006408875670,74076,0,1,1,42184,42184,42184
116,61542498192,1789006408906529,1789006408908083,74076,0,1,1,42170,42170,42170
117,61542531500,1789006408939971,1789006408941473,74076,0,1,1,43047,43047,43047
118,61542564809,1789006408973311,1789006408974816,74076,0,1,1,42967,42967,42967
119,61542598117,1789006409006486,1789006409008290,74076,0,1,1,42219,42219,42219
120,61542631426,1789006409039943,1789006409041351,74076,0,1,1,42348,42348,42348
121,61542664735,1789006409073927,1789006409075460,74076,0,1,1,42974,42974,42974
122,61542698043,1789006409106549,1789006409108377,74076,0,1,1,42703,42703,42703
123,61542731352,1789006409139953,1789006409141355,74076,0,1,1,42928,42928,42928
124,61542764660,1789006409173870,1789006409175596,74076,0,1,1,42166,42166,42166
125,61542797969,1789006409206410,1789006409207978,74076,0,1,1,42950,42950,42950
126,61542831278,1789006409239805,1789006409241338,74076,0,1,1,42924,42924,42924
127,61542864586,1789006409273084,1789006409275323,74076,0,1,1,42234,42234,42234
128,61542897895,1789006409306438,1789006409309967,74076,0,1,1,42880,42880,42880
129,61542931203,1789006409339781,1789006409341250,74076,0,1,1,42953,42953,42953
130,61542964512,1789006409373481,1789006409375379,74076,0,1,1,42238,42238,42238
131,61542997821,1789006409406373,1789006409408080,74076,0,1,1,42356,42356,42356
132,61543031129,1789006409439978,1789006409441119,74076,0,1,1,42112,42112,42112
133,61543064438,1789006409472953,1789006409474405,74076,0,1,1,41968,41968,41968
134,61543097746,1789006409506967,1789006409508180,74076,0,1,1,42988,42988,42988
135,61543131055,1789006409539563,1789006409540982,74076,0,1,1,42278,42278,42278
